No,id,firstName,lastName,gender,dob,socialID
1,SV0029,Chau,Nguyen,F,01/05/2003,189939
2,SV0030,Kim,Ho,M,02/05/2003,189940
3,SV0031,Phat,Le,M,03/05/2003,189941
4,SV0032,Dat,Duong,M,04/05/2003,189942
5,SV0033,Tu,Quach,M,05/05/2003,189943
6,SV0034,Thanh,Hoang,M,06/05/2003,189944
7,SV0035,Hoang,Kim,M,07/05/2003,189945
8,SV0036,Nhu,Le,F,08/05/2003,189946
9,SV0037,Ngoc,Nguyen,F,09/05/2003,189947
10,SV0038,Hong,Nguyen,F,10/05/2003,189948
11,SV0039,Thuy,Ho,F,11/05/2003,189949
12,SV0040,Thanh,Nguyen,M,12/05/2003,189950
13,SV0041,Dung,Le,M,13/05/2003,189951
14,SV0042,Phuc,Tran,M,14/05/2003,189952
15,SV0043,Hung,Le,M,15/05/2003,189953
