No,classId,id,firstName,lastName,gender,dob,noCredits,courseID,teacherName,dayOfTheWeek,session,session
1,21CLC04,SV0045,Ha,Nguyen,F,09/09/2003,4,MTH10001,Le Van Hop,3,2,3
2,21CLC04,SV0046,Thu,Le,F,10/09/2003,4,MTH10002,Le Van Hop,3,2,3
3,21CLC04,SV0047,Huong,Nguyen,F,11/09/2003,4,MTH10003,Le Van Hop,3,2,3
4,21CLC04,SV0048,Dung,Nguyen,M,12/09/2003,4,MTH10004,Le Van Hop,3,2,3
5,21CLC04,SV0049,Jake,Nguyen,F,13/09/2003,4,MTH10005,Le Van Hop,3,2,3
6,21CLC04,SV0050,Jim,Nguyen,M,14/09/2003,4,MTH10006,Le Van Hop,3,2,3
7,21CLC04,SV0051,Tom,Nguyen,M,15/09/2003,4,MTH10007,Le Van Hop,3,2,3
8,21CLC04,SV0052,Toma,Nguyen,M,16/09/2003,4,MTH10008,Le Van Hop,3,2,3
9,21CLC04,SV0053,Suk,Nguyen,M,17/09/2003,4,MTH10009,Le Van Hop,3,2,3
10,21CLC04,SV0054,Phuc,Nguyen,M,18/09/2003,4,MTH10010,Le Van Hop,3,2,3
11,21CLC04,SV0055,Nguyen,Nguyen,M,19/09/2003,4,MTH10011,Le Van Hop,3,2,3
12,21CLC04,SV0056,Hoang,Nguyen,M,20/09/2003,4,MTH10012,Le Van Hop,3,2,3
13,21CLC04,SV0057,David,Nguyen,M,21/09/2003,4,MTH10013,Le Van Hop,3,2,3
14,21CLC04,SV0058,Milo,Ho,M,22/09/2003,4,MTH10014,Le Van Hop,3,2,3
15,21CLC04,SV0059,Mike,Le,M,23/09/2003,4,MTH10015,Le Van Hop,3,2,3
