No,id,firstName,lastName,gender,dob,courseID,midTerm,lab,endTerm,final
1,SV0001,Han,Nguyen,F,01/12/2003,CSC10001,5,5,7,6
2,SV0002,Dat,Nguyen,M,02/12/2003,CSC10001,6,7,6,6.3
3,SV0003,Ngoc,Tran,F,03/12/2003,CSC10001,8,7,8,7.7
4,SV0004,Chau,Hoang,F,04/12/2003,CSC10001,4,4,9,6.5
5,SV0005,Huy,Le,M,05/12/2003,CSC10001,2,6,5,4.7
6,SV0006,Hieu,Tran,M,06/12/2003,CSC10001,5,7,6,6.1
7,SV0007,Nhan,Ho,M,07/12/2003,CSC10001,7,8,7,7.3
8,SV0008,Phuc,Nguyen,M,08/12/2003,CSC10001,5,6,5,5.3
9,SV0009,Hoang,Kim,M,09/12/2003,CSC10001,6,5,4,4.7
10,SV0010,Kim,Duong,M,10/12/2003,CSC10001,8,8,8,8
11,SV0011,Phat,Pham,M,11/12/2003,CSC10001,6,6,9,7.5
